Date,Route,Price,Timestamp
2025-12-07,LAX --> PPT,"Refundable Partner Business
+ $19
220k miles",2025-01-30 03:33:57.951259
2025-12-27,PPT --> LAX,"Refundable Partner Business
+ $66
60k miles
only 2 left",2025-01-30 14:35:37.114253
2025-12-27,LAX --> PPT,"Refundable Partner Business
+ $19
220k miles",2025-01-30 14:35:41.774680
2025-12-27,PPT --> LAX,"Refundable Partner Business
+ $66
60k miles
only 2 left",2025-01-30 14:48:03.890561
2025-12-27,LAX --> PPT,"Refundable Partner Business
+ $19
220k miles",2025-01-30 14:48:07.846366
2025-12-27,PPT --> LAX,"Refundable Partner Business
+ $66
60k miles
only 2 left",2025-01-30 15:17:42.819842
2025-12-27,LAX --> PPT,"Refundable Partner Business
+ $19
220k miles",2025-01-30 15:17:46.838224
2025-12-27,PPT --> LAX,"Refundable Partner Business
+ $66
60k miles
only 2 left",2025-01-30 15:33:32.389692
2025-12-27,LAX --> PPT,"Refundable Partner Business
+ $19
220k miles",2025-01-30 15:33:36.271493
2025-12-27,PPT --> LAX,"Refundable Partner Business
+ $66
60k miles
only 2 left",2025-01-30 15:47:15.913771
2025-12-27,LAX --> PPT,"Refundable Partner Business
+ $19
220k miles",2025-01-30 15:47:19.864971
